Merk,Engine-Size,Cylinders,Fuel-Type,Fuel-Consumption-City,Fuel-Consumption-Hwy,Fuel-Consumption-Comb,
Acura,2.40,4.00,Z,9.90,7.00,8.60,
Acura,3.50,6.00,Z,12.20,9.00,10.80,
Acura,3.50,6.00,Z,12.20,9.50,11.00,
Acura,3.00,6.00,Z,9.10,9.00,9.00,
Acura,3.50,6.00,Z,11.10,10.80,11.00,
Acura,2.00,4.00,Z,11.00,8.60,9.90,
Acura,2.00,4.00,Z,11.30,9.10,10.30,
Acura,3.50,6.00,Z,8.40,8.20,8.40,
Acura,2.40,4.00,Z,10.00,7.10,8.70,
Acura,2.40,4.00,Z,10.20,7.40,8.90,
Acura,3.50,6.00,Z,11.40,7.70,9.80,
Acura,3.50,6.00,Z,12.00,8.20,10.30,
Alfa Romeo,1.80,4.00,Z,9.70,6.90,8.40,
Alfa Romeo,1.80,4.00,Z,9.70,6.90,8.40,
Alfa Romeo,2.00,4.00,Z,10.00,7.20,8.70,
Alfa Romeo,2.00,4.00,Z,10.50,7.70,9.20,
Alfa Romeo,2.90,6.00,Z,13.80,9.60,11.90,
Alfa Romeo,2.00,4.00,Z,10.30,8.10,9.30,
Alfa Romeo,2.00,4.00,Z,10.80,8.30,9.60,
Alfa Romeo,2.90,6.00,Z,14.10,10.40,12.40,
Aston Martin,4.00,8.00,Z,13.00,9.80,11.50,
Aston Martin,5.20,12.00,Z,15.50,10.60,13.30,
Aston Martin,5.20,12.00,Z,16.40,10.70,13.80,
Aston Martin,6.00,12.00,Z,16.70,10.90,14.10,
Aston Martin,6.00,12.00,Z,17.50,11.40,14.70,
Aston Martin,4.00,8.00,Z,12.70,9.40,11.20,
Audi,2.00,4.00,X,9.10,6.80,8.10,
Audi,2.00,4.00,X,10.90,7.90,9.60,
Audi,2.00,4.00,X,10.70,7.90,9.50,
Audi,2.00,4.00,Z,8.60,6.90,7.80,
Audi,2.00,4.00,Z,10.00,7.00,8.70,
Audi,2.00,4.00,Z,10.70,8.00,9.50,
Audi,2.00,4.00,Z,10.00,7.00,8.70,
Audi,2.00,4.00,Z,10.00,7.00,8.70,
Audi,2.00,4.00,Z,10.00,7.00,8.70,
Audi,3.00,6.00,Z,10.70,8.20,9.60,
Audi,3.00,6.00,Z,10.70,8.20,9.60,
Audi,3.00,6.00,Z,12.50,8.60,10.80,
Audi,2.00,4.00,X,12.30,8.60,10.60,
Audi,2.00,4.00,Z,10.90,8.70,9.90,
Audi,2.00,4.00,Z,12.20,9.50,11.00,
Audi,3.00,6.00,Z,12.60,9.40,11.10,
Audi,3.00,6.00,Z,14.00,10.70,12.50,
Audi,2.50,5.00,Z,12.40,8.40,10.60,
