EngineSize,Cylinders,FuelType,FuelC
2.40,4.00,1.00,8.60
3.50,6.00,1.00,10.80
3.50,6.00,1.00,11.00
3.00,6.00,1.00,9.00
3.50,6.00,1.00,11.00
2.00,4.00,1.00,9.90
2.00,4.00,1.00,10.30
3.50,6.00,1.00,8.40
2.40,4.00,1.00,8.70
2.40,4.00,1.00,8.90
3.50,6.00,1.00,9.80
3.50,6.00,1.00,10.30
1.80,4.00,1.00,8.40
1.80,4.00,1.00,8.40
2.00,4.00,1.00,8.70
2.00,4.00,1.00,9.20
2.90,6.00,1.00,11.90
2.00,4.00,1.00,9.30
2.00,4.00,1.00,9.60
2.90,6.00,1.00,12.40
4.00,8.00,1.00,11.50
5.20,12.00,1.00,13.30
5.20,12.00,1.00,13.80
6.00,12.00,1.00,14.10
6.00,12.00,1.00,14.70
4.00,8.00,1.00,11.20
2.00,4.00,2.00,8.10
2.00,4.00,2.00,9.60
2.00,4.00,2.00,9.50
2.00,4.00,1.00,7.80
2.00,4.00,1.00,8.70
2.00,4.00,1.00,9.50
2.00,4.00,1.00,8.70
2.00,4.00,1.00,8.70
2.00,4.00,1.00,8.70
3.00,6.00,1.00,9.60
3.00,6.00,1.00,9.60
3.00,6.00,1.00,10.80
2.00,4.00,2.00,10.60
2.00,4.00,1.00,9.90
2.00,4.00,1.00,11.00
3.00,6.00,1.00,11.10
3.00,6.00,1.00,12.50
2.50,5.00,1.00,10.60
2.90,6.00,1.00,11.30
2.90,6.00,1.00,11.50
2.00,4.00,1.00,9.50
3.00,6.00,1.00,9.80
3.00,6.00,1.00,9.80
3.00,6.00,1.00,9.90
3.00,6.00,1.00,9.80
3.00,6.00,1.00,11.50
2.00,4.00,2.00,9.20
2.00,4.00,2.00,9.20
2.50,5.00,1.00,10.30
2.00,4.00,1.00,9.40
4.00,8.00,1.00,13.60
6.80,8.00,1.00,20.00
2.00,4.00,1.00,8.80
2.00,4.00,1.00,8.60
2.00,4.00,1.00,8.30
2.00,4.00,1.00,8.80
2.00,4.00,1.00,8.80
2.00,4.00,1.00,9.10
2.00,4.00,1.00,8.80
2.00,4.00,1.00,8.80
3.00,6.00,1.00,9.40
