Merk,EngineSize,Cylinders,FuelType,FuelC
1.00,2.40,4.00,1.00,8.60
1.00,3.50,6.00,1.00,10.80
1.00,3.50,6.00,1.00,11.00
1.00,3.00,6.00,1.00,9.00
1.00,3.50,6.00,1.00,11.00
1.00,2.00,4.00,1.00,9.90
1.00,2.00,4.00,1.00,10.30
1.00,3.50,6.00,1.00,8.40
1.00,2.40,4.00,1.00,8.70
1.00,2.40,4.00,1.00,8.90
1.00,3.50,6.00,1.00,9.80
1.00,3.50,6.00,1.00,10.30
2.00,1.80,4.00,1.00,8.40
2.00,1.80,4.00,1.00,8.40
2.00,2.00,4.00,1.00,8.70
2.00,2.00,4.00,1.00,9.20
2.00,2.90,6.00,1.00,11.90
2.00,2.00,4.00,1.00,9.30
2.00,2.00,4.00,1.00,9.60
2.00,2.90,6.00,1.00,12.40
3.00,4.00,8.00,1.00,11.50
3.00,5.20,12.00,1.00,13.30
3.00,5.20,12.00,1.00,13.80
3.00,6.00,12.00,1.00,14.10
3.00,6.00,12.00,1.00,14.70
3.00,4.00,8.00,1.00,11.20
4.00,2.00,4.00,2.00,8.10
4.00,2.00,4.00,2.00,9.60
4.00,2.00,4.00,2.00,9.50
4.00,2.00,4.00,1.00,7.80
4.00,2.00,4.00,1.00,8.70
4.00,2.00,4.00,1.00,9.50
4.00,2.00,4.00,1.00,8.70
4.00,2.00,4.00,1.00,8.70
4.00,2.00,4.00,1.00,8.70
4.00,3.00,6.00,1.00,9.60
4.00,3.00,6.00,1.00,9.60
4.00,3.00,6.00,1.00,10.80
4.00,2.00,4.00,2.00,10.60
4.00,2.00,4.00,1.00,9.90
4.00,2.00,4.00,1.00,11.00
4.00,3.00,6.00,1.00,11.10
4.00,3.00,6.00,1.00,12.50
4.00,2.50,5.00,1.00,10.60
4.00,2.90,6.00,1.00,11.30
4.00,2.90,6.00,1.00,11.50
4.00,2.00,4.00,1.00,9.50
4.00,3.00,6.00,1.00,9.80
4.00,3.00,6.00,1.00,9.80
4.00,3.00,6.00,1.00,9.90
4.00,3.00,6.00,1.00,9.80
4.00,3.00,6.00,1.00,11.50
4.00,2.00,4.00,2.00,9.20
4.00,2.00,4.00,2.00,9.20
4.00,2.50,5.00,1.00,10.30
4.00,2.00,4.00,1.00,9.40
5.00,4.00,8.00,1.00,13.60
5.00,6.80,8.00,1.00,20.00
6.00,2.00,4.00,1.00,8.80
6.00,2.00,4.00,1.00,8.60
6.00,2.00,4.00,1.00,8.30
6.00,2.00,4.00,1.00,8.80
6.00,2.00,4.00,1.00,8.80
6.00,2.00,4.00,1.00,9.10
6.00,2.00,4.00,1.00,8.80
6.00,2.00,4.00,1.00,8.80
6.00,3.00,6.00,1.00,9.40
6.00,3.00,6.00,1.00,11.00
6.00,3.00,6.00,1.00,10.00
6.00,3.00,6.00,1.00,9.70
6.00,3.00,6.00,1.00,11.00
6.00,3.00,6.00,1.00,9.70
6.00,2.00,4.00,1.00,8.80
6.00,3.00,6.00,1.00,9.80
6.00,3.00,6.00,1.00,10.50
6.00,3.00,6.00,1.00,10.30
6.00,4.40,8.00,1.00,12.00
6.00,4.40,8.00,1.00,11.50
6.00,4.40,8.00,1.00,12.00
6.00,4.40,8.00,1.00,12.00
6.00,4.40,8.00,1.00,12.00
6.00,3.00,6.00,1.00,12.60
6.00,3.00,6.00,1.00,11.70
6.00,3.00,6.00,1.00,9.70
6.00,3.00,6.00,1.00,11.00
6.00,3.00,6.00,1.00,9.70
6.00,3.00,6.00,1.00,11.00
6.00,3.00,6.00,1.00,9.70
6.00,3.00,6.00,1.00,11.00
6.00,3.00,6.00,1.00,9.80
6.00,3.00,6.00,1.00,9.80
6.00,3.00,6.00,1.00,9.80
6.00,3.00,6.00,1.00,12.70
6.00,3.00,6.00,1.00,11.90
6.00,3.00,6.00,1.00,12.70
6.00,3.00,6.00,1.00,11.90
6.00,3.00,6.00,1.00,12.60
6.00,3.00,6.00,1.00,11.70
6.00,3.00,6.00,1.00,12.60
6.00,3.00,6.00,1.00,11.70
6.00,3.00,6.00,1.00,12.60
6.00,4.40,8.00,1.00,13.90
6.00,4.40,8.00,1.00,13.90
6.00,4.40,8.00,1.00,11.50
6.00,4.40,8.00,1.00,14.70
6.00,6.60,12.00,1.00,15.10
6.00,4.40,8.00,1.00,11.60
6.00,4.40,8.00,1.00,11.50
6.00,2.00,4.00,1.00,9.30
6.00,2.00,4.00,1.00,9.50
6.00,2.00,4.00,1.00,9.60
6.00,3.00,6.00,1.00,10.40
6.00,2.00,4.00,1.00,9.60
6.00,3.00,6.00,1.00,10.40
6.00,3.00,6.00,1.00,10.50
6.00,4.40,8.00,1.00,13.40
6.00,3.00,6.00,1.00,11.60
6.00,4.40,8.00,1.00,12.60
6.00,4.40,8.00,1.00,14.60
6.00,3.00,6.00,1.00,10.80
6.00,4.40,8.00,1.00,12.60
7.00,8.00,16.00,1.00,22.20
8.00,3.60,6.00,2.00,11.20
8.00,3.60,6.00,2.00,11.90
8.00,1.40,4.00,2.00,8.70
8.00,1.40,4.00,2.00,8.30
8.00,1.40,4.00,2.00,9.10
8.00,1.40,4.00,2.00,8.80
8.00,2.00,4.00,1.00,10.70
8.00,2.50,4.00,2.00,10.00
8.00,3.60,6.00,2.00,9.90
8.00,2.50,4.00,2.00,8.20
8.00,3.60,6.00,2.00,10.10
8.00,2.00,4.00,1.00,9.10
